YEAR,bsai.ebs.pol.ssb,bsai.ebs.pol.r0,bsai.ai.pol.ssb,bsai.ai.pol.r0,bsai.ebs.cod.ssb,bsai.ebs.cod.r0,bsai.ai.cod.ssb,bsai.ai.cod.r0,bsai.nrs.ssb,bsai.nrs.r0,bsai.sab.ssb,bsai.sab.r0,bsai.atf.ssb,bsai.atf.r0,bsai.yfs.ssb,bsai.yfs.r0,bsai.fhs.ssb,bsai.fhs.r0,bsai.pop.ssb,bsai.pop.r0,bsai.nrf.ssb,bsai.nrf.r0,bsai.apl.ssb,bsai.apl.r0,bsai.turb.ssb,bsai.turb.r0,bsai.kam.ssb,bsai.kam.r0,bsai.atk.ssb,bsai.atk.r0,bsai.opi.fmb,bsai.opi.mmb,bsai.opi.r0,bsai.bbrkc.mmb,bsai.bbrkc.r0,bsai.tanner.mmb,bsai.tanner.fmb,bsai.tanner.r0,bsai.sck.catch
1893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,940000
1894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1235400
1895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1472137
1896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999740
1897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3317523
1898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4927840
1899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5112737
1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8547335
1901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10220577
1902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12808518
1903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16320092
1904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11903352
1905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14833989
1906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10823431
1907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10193403
1908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16233802
1909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15497883
1910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11593609
1911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8815114
1912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19696343
1913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20581826
1914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20195107
1915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14787678
1916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17521921
1917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24513532
1918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23090665
1919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7161375
1920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8897915
1921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15680076
1922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23632077
1923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18181964
1924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10302066
1925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7909508
1926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19414094
1927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11071828
1928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19710000
1929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12188648
1930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4259188
1931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12790614
1932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14939552
1933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23708950
1934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20600510
1935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3022959
1936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20586884
1937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21257814
1938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24699788
1939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13332345
1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4726687
1941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7153704
1942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6343363
1943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17330218
1944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11545604
1945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7300247
1946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8050548
1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18642028
1948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14544389
1949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6449321
1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7157275
1951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4326543
1952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11266129
1953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6111500
1954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4652625
1955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.094,60.978,562.95,4549106
1956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8881467
1957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6275502
1958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2985666
1959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4608119
1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13705002
1961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11913926
1962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4718016
1963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2871136
1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5596120
1965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24255239
1966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9314240
1967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4330730
1968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2792849
1969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6621698
1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20720766
1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9583987
1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2416233
1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,761322
1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1362479
1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.911,357.206,2386.25,4898814
1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.519,293.487,1688.15,5619292
1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.074,215.257,629.45,4877880
1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.212,167.924,293.49,9928139
1979,,,,,,,,,,,,,,,,,,,,,,,,,256.72,20.15,,,,,,,,,,118.966,148.621,282.52,21428606
1980,,,,,,,,,,,,,,,,,,,,,,,,,248.48,6.97,,,,,,,,,,106.301,127.985,335.31,23761746
1981,,,,,,,,,,,,,,,,,,,,,,,,,239.49,1.16,,,,,,,,,,85.02,123.17,288.18,25603081
1982,2347,17084,,,266.499,1012.815,,,100.453,1333.53,,,149.611,85.525,1005.26,3979,83.862,970.035,,,,,293.28,216,233.94,2.12,,,,,381.6,701.1,3270,,,65.17,112.67,984.35,15104391
1983,3089,49553,,,352.773,231.636,,,105.69,1231.61,,,138.647,92.275,1117.59,3031,81.882,830.96,,,,,312.294,235,234.92,3.48,,,,,289.4,662.2,2070,,,46.46,85.86,734.05,37372031
1984,3159,13152,,,402.121,930.036,,,119.585,2021.3,151.1,31.3,126.82,172.538,1197.99,8534,82.42,1192.62,,,,,328.455,271,236.37,6.7,,,,,220.2,656.8,3070,,,31.27,56.46,844.92,24710306
1985,3628,33149,,,408.094,407.426,,,116.998,1749.66,168.4,6.6,119.526,252.296,1238.16,1347,85.272,2034.65,,,,,337.149,121,243.47,22.41,,,,,171.1,620.6,5140,11.771,,28.2,52.64,869.34,23702883
1986,3554,12606,,,398.927,221.073,,,123.639,1670.15,185.4,20.9,114.676,440.25,1203.42,6787,89.908,864.019,,,,,334.438,133,249.28,5.79,,,,,154,567,590,17.699,42.936,32.42,61.88,739.46,15776056
1987,3623,7004,,,399.662,69.497,,,148.617,2828.5,193.7,13.8,110.885,652.222,1172.47,2153,97.207,2265.77,,,,,321.888,230,251.81,6.16,,,,,495.3,549.4,2250,22.496,13.167,40.37,78.05,501.75,16068775
1988,3461,5383,,,402.06,305.943,,,155.766,4331.74,194.4,4.2,110.039,680.68,1081,1784,108.285,569.001,,,,,311.684,140,249.16,6.34,,,,,885.4,586.5,140,27.056,8.523,49.04,99.7,233.14,13989796
1989,3009,11487,,,385.863,605.679,,,163.769,1503.02,188,5.5,100.476,551.669,1018.44,2571,121.724,1004.99,,,,,288.207,187,243.15,16.99,,,,,920.7,640.4,670,29.968,11.387,56.05,108.64,114.65,28735306
1990,2542,48931,,,358.539,604.913,,,177.721,1287.03,177.4,11,105.607,357.258,993.169,3551,140.791,1105.78,,,,,286.511,290,231.38,4.19,,,,,764.4,697.5,3100,26.071,27.952,60.51,103.25,85.54,33444077
1991,2029,25553,215.36,576.54,308.333,359.942,115.206,14.547,199.031,2884.82,165.1,22.4,116.658,233.472,1033.99,3566,154.97,952.305,160.79,247.7,96.552,38.285,283.964,168,215.03,1.2,72.447,7.1,189.832,331,608.4,632.5,4370,19.972,18.883,60.99,103.34,93.32,25821180
1992,1944,21315,174.63,507.03,236.009,931.744,118.639,19.936,215.356,1423.8,152.4,5.4,138.012,254.8,1084.16,1631,169.637,1051.68,175.49,132.09,100.32,163.16,276.763,259,201.29,0.76,71.516,12.39,214.867,514,494.3,506.5,1690,18.686,4.469,56.6,91.82,90.69,31879676
1993,2603,44628,153.68,435.17,204.619,327.966,106.264,37.243,272.954,733.734,140.1,23.7,179.17,221.105,1107.65,1876,181.764,739.007,190.31,79.77,104.37,29.994,267.716,210,190.07,0.6,71.348,6.92,217.034,855,426.7,392.3,280,17.712,12.766,48.84,82.76,111.02,40462292
1994,3025,14963,130.71,362.03,213.573,286.783,98.853,15.14,317.17,1084.66,127.3,5.5,234.71,225.137,1104.91,4369,194.308,681.879,205.63,37.844,107.92,25.577,261.503,293,175.05,0.93,71.816,3.96,189.39,341,406.8,356.8,70,24.062,4.077,39.9,71.01,180.19,35224046
1995,3231,10270,105.36,286.67,223.571,255.771,94.919,30.703,366.632,572.596,116.6,6.8,290.535,244.915,1095.89,2465,206.166,731.088,222.42,59.075,111.3,22.587,256.572,224,160.13,3.79,72.472,5.62,167.558,335,422.8,402.2,150,26.941,79.363,31.86,57.62,143.98,44266234
1996,3171,22106,80.61,244.15,223.377,868.172,92.899,39.641,450.015,556.412,109.1,10.7,340.888,400.313,1036.74,2131,217.915,1015.86,238.28,48.682,114.23,104.93,250.447,226,146.99,1.65,73.573,9.42,148.283,863,408.6,506.9,140,25.037,13.01,25.52,46.46,361.57,29591658
1997,3078,30318,71.42,208.24,227.199,344.506,86.846,35.849,493.62,767.384,104,19.8,371.457,340.943,1010,2007,224.983,1014.23,242.04,157.58,116.5,46.209,246.973,120,135.21,1.63,74.016,16.24,131.538,200,342.9,557.6,1950,23.274,6.42,21.09,38.8,131.99,12158777
