"","month.anom","Year","Month"
"1",0.0731455655051019,1854,1
"2",-0.0115688705621271,1854,2
"3",0.0569350130926129,1854,3
"4",0.00794344084247843,1854,4
"5",-0.0846650345876582,1854,5
"6",-0.35149246247373,1854,6
"7",0.0962397869446184,1854,7
"8",0.303414412621412,1854,8
"9",0.421791580235562,1854,9
"10",0.269038924673939,1854,10
"11",0.0584379738858899,1854,11
"12",-0.108916953435201,1854,12
"13",-0.111972165122787,1855,1
"14",-0.213033582210094,1855,2
"15",-0.214097260028889,1855,3
"16",-0.161964852073032,1855,4
"17",-0.29452341711331,1855,5
"18",-0.555937697580986,1855,6
"19",-0.413566669828559,1855,7
"20",-0.194512278682671,1855,8
"21",-0.0320519615317244,1855,9
"22",-0.00171474921124063,1855,10
"23",-0.034462723417965,1855,11
"24",-0.470648274054784,1855,12
"25",-0.165725721887431,1856,1
"26",-0.0901420103514389,1856,2
"27",-0.0207943092475645,1856,3
"28",-0.0788491292509253,1856,4
"29",-0.345252181984202,1856,5
"30",-0.793405751046291,1856,6
"31",-0.625207898545865,1856,7
"32",0.028466292504224,1856,8
"33",0.16561469388435,1856,9
"34",0.0424658824263326,1856,10
"35",-0.0839458743096008,1856,11
"36",-0.205274216088054,1856,12
"37",0.0796222982048693,1857,1
"38",-0.199301641277198,1857,2
"39",-0.319367065921543,1857,3
"40",-0.228801938698753,1857,4
"41",-0.184007880291903,1857,5
"42",-0.377132203790816,1857,6
"43",0.0338891095373122,1857,7
"44",-0.102608229348352,1857,8
"45",-0.286810464657786,1857,9
"46",-0.165271444195677,1857,10
"47",-0.0373720449178725,1857,11
"48",-0.0981080054936697,1857,12
"49",-0.0597867320563777,1858,1
"50",-0.121787135372544,1858,2
"51",-0.193085985235016,1858,3
"52",-0.273971255578834,1858,4
"53",-0.224676965830808,1858,5
"54",-0.299545480380251,1858,6
"55",-0.16569335318812,1858,7
"56",0.0113081781123995,1858,8
"57",-0.285256286502799,1858,9
"58",-0.137536682542938,1858,10
"59",0.00499585074232058,1858,11
"60",0.0515928603037048,1858,12
"61",0.190057225575107,1859,1
"62",0.127094883952899,1859,2
"63",-0.164128692797462,1859,3
"64",-0.493045364581134,1859,4
"65",-0.698251849742729,1859,5
