"year","SLP"
1950,4.82955148106229
1951,5.65274530538188
1952,4.07288328647244
1953,-5.31626005288789
1954,-0.684178633794114
1955,1.10019280140272
1956,5.42567377766236
1957,2.21215680706209
1958,-3.24445251458487
1959,0.091624194363977
1960,-1.99217397591423
1961,-5.87047733942915
1962,3.80857722781278
1963,-2.02100757692598
1964,-3.41125836395136
1965,2.3496043755933
1966,5.01758144686099
1967,6.01090650524623
1968,1.06538675686819
1969,2.37482155760447
1970,-7.90092528417131
1971,4.53261358258752
1972,5.93410023517566
1973,-0.366608925440712
1974,0.486854860802823
1975,-0.629927770022886
1976,-0.882354724520093
1977,-8.21866863553904
1978,-5.66246547731483
1979,2.49331018493515
1980,-2.01766362946544
1981,-8.73233688025894
1982,3.81907022321487
1983,-11.8956954591406
1984,-5.22125888706779
1985,0.881445277597644
1986,-6.45339906820391
1987,-6.61761925941609
1988,-4.86130704322087
1989,4.15784208923845
1990,0.368287960828198
1991,3.56863721406046
1992,-6.24799155203095
1993,-0.0650937078164
1994,-0.196286080993155
1995,-0.531728856746401
1996,-0.698624370019774
1997,-1.7328638446458
1998,-7.96384639495622
1999,-0.930623148165177
2000,-2.42482204308106
2001,-4.85579537438986
2002,-1.92428565416887
2003,-8.77306204505899
2004,0.500701499638646
2005,-1.98232553537386
2006,1.26935942639303
2007,0.531719669963452
2008,-0.577573427850984
2009,6.24716105082411
2010,-7.55918385858453
2011,4.90141720624194
2012,1.25529850456277
2013,1.26990814426846
2014,-0.466786322306042
2015,-5.45419149741516
2016,-8.8846058915259
2017,3.59770801549058
2018,7.19343730092897
2019,0.770807930972822
2020,2.77772429370589
2021,1.77730204935361
2022,2.79977034445383
2023,3.96353992779881
2024,-1.29979326663398
2025,-3.4231082243518
2026,3.13228463671918
