"model","member","region","edf"
"FCM","LE2-1011.001","GOA",3.54001927075895
"FCM","LE2-1011.001","EBS",4.66722536802265
"FCM","LE2-1031.002","GOA",3.12172621396539
"FCM","LE2-1031.002","EBS",2.12692138240497
"FCM","LE2-1051.003","GOA",1.00000002015481
"FCM","LE2-1051.003","EBS",1.00000000982191
"FCM","LE2-1071.004","GOA",1.00000000521468
"FCM","LE2-1071.004","EBS",1.0000000274776
"FCM","LE2-1091.005","GOA",4.62451779900048
"FCM","LE2-1091.005","EBS",3.53810766365059
"FCM","LE2-1111.006","GOA",1.55651206957918
"FCM","LE2-1111.006","EBS",1.00000002614499
"FCM","LE2-1131.007","GOA",1.00000001943533
"FCM","LE2-1131.007","EBS",1.00000000849672
"FCM","LE2-1151.008","GOA",1.00000000752259
"FCM","LE2-1151.008","EBS",2.50014596653334
"FCM","LE2-1171.009","GOA",1.38513348044987
"FCM","LE2-1171.009","EBS",1.35844957104068
"FCM","LE2-1191.010","GOA",2.92062635739601
"FCM","LE2-1191.010","EBS",2.35091662678617
"FCM","LE2-1231.011","GOA",1.41823460793013
"FCM","LE2-1231.011","EBS",1.00000001747182
"FCM","LE2-1231.012","GOA",1.00000003054277
"FCM","LE2-1231.012","EBS",1.00000000356652
"FCM","LE2-1231.013","GOA",1.00000001509763
"FCM","LE2-1231.013","EBS",2.26987198523
"FCM","LE2-1231.014","GOA",3.56334489364522
"FCM","LE2-1231.014","EBS",1.00000001320269
"FCM","LE2-1231.015","GOA",1.00007028454015
"FCM","LE2-1231.015","EBS",1.00000001721474
"FCM","LE2-1231.016","GOA",1.00000016920749
"FCM","LE2-1231.016","EBS",2.25160186167667
"FCM","LE2-1231.017","GOA",1.00000001586172
"FCM","LE2-1231.017","EBS",3.34353321307273
"FCM","LE2-1231.018","GOA",1.00000007343225
"FCM","LE2-1231.018","EBS",2.21397016912618
"FCM","LE2-1231.019","GOA",1.00000001578253
"FCM","LE2-1231.019","EBS",3.63204509954885
"FCM","LE2-1231.020","GOA",4.5034713767113
"FCM","LE2-1231.020","EBS",4.38792252231745
"FCM","LE2-1251.011","GOA",1.0000000142552
"FCM","LE2-1251.011","EBS",2.03045154395276
"FCM","LE2-1251.012","GOA",5.39387054513395
"FCM","LE2-1251.012","EBS",1.00000001754424
"FCM","LE2-1251.013","GOA",1.00000001653058
"FCM","LE2-1251.013","EBS",8.29807540235503
"FCM","LE2-1251.014","GOA",2.08876763958411
"FCM","LE2-1251.014","EBS",1.00000000648558
"FCM","LE2-1251.015","GOA",1.00008579855364
"FCM","LE2-1251.015","EBS",1.00000000408972
"FCM","LE2-1251.016","GOA",1.00000064432221
"FCM","LE2-1251.016","EBS",1.00002726692558
"FCM","LE2-1251.017","GOA",2.35034390505283
"FCM","LE2-1251.017","EBS",3.27955937632341
"FCM","LE2-1251.018","GOA",1.00004243180817
"FCM","LE2-1251.018","EBS",1.00000000946577
"FCM","LE2-1251.019","GOA",4.91241997118133
"FCM","LE2-1251.019","EBS",1.00000012039992
"FCM","LE2-1251.020","GOA",2.58187995918546
"FCM","LE2-1251.020","EBS",2.11980908369845
"FCM","LE2-1281.011","GOA",1.42660553352743
"FCM","LE2-1281.011","EBS",1.00000000527814
"FCM","LE2-1281.012","GOA",1.00000000538937
"FCM","LE2-1281.012","EBS",2.24834264182389
"FCM","LE2-1281.013","GOA",1.00000003296819
"FCM","LE2-1281.013","EBS",6.54353132387547
"FCM","LE2-1281.014","GOA",1.00000001146118
"FCM","LE2-1281.014","EBS",1.0000000200851
"FCM","LE2-1281.015","GOA",1.00000000646859
"FCM","LE2-1281.015","EBS",1.00000000721807
"FCM","LE2-1281.016","GOA",1.00000000559019
"FCM","LE2-1281.016","EBS",1.00000000470114
"FCM","LE2-1281.017","GOA",1.00000001820685
"FCM","LE2-1281.017","EBS",1.00001442091841
"FCM","LE2-1281.018","GOA",3.09046912398579
"FCM","LE2-1281.018","EBS",3.77735579350413
"FCM","LE2-1281.019","GOA",3.86202057301304
"FCM","LE2-1281.019","EBS",1.00000000763307
"FCM","LE2-1281.020","GOA",1.30093354396865
"FCM","LE2-1281.020","EBS",1.00000000806493
"FCM","LE2-1301.011","GOA",1.00000001704409
"FCM","LE2-1301.011","EBS",1.00000000848362
"FCM","LE2-1301.012","GOA",8.49683504689637
"FCM","LE2-1301.012","EBS",1.9655527572722
"FCM","LE2-1301.013","GOA",2.40816828105383
"FCM","LE2-1301.013","EBS",1.00000959282921
"FCM","LE2-1301.014","GOA",1.0000000117605
"FCM","LE2-1301.014","EBS",1.00000000604049
"FCM","LE2-1301.015","GOA",1.00000000920355
"FCM","LE2-1301.015","EBS",1.00000000605741
"FCM","LE2-1301.016","GOA",2.86292873044194
"FCM","LE2-1301.016","EBS",1.0000000070525
"FCM","LE2-1301.017","GOA",1.0000000118247
"FCM","LE2-1301.017","EBS",1.00000000630231
"FCM","LE2-1301.018","GOA",5.08196771369965
"FCM","LE2-1301.018","EBS",2.77958065443627
"FCM","LE2-1301.019","GOA",NA
"FCM","LE2-1301.019","EBS",NA
"FCM","LE2-1301.020","GOA",NA
"FCM","LE2-1301.020","EBS",NA
"MDM","cesm2.MD.postP.01.SST.185001-201412","GOA",1.00000007460865
"MDM","cesm2.MD.postP.01.SST.185001-201412","EBS",5.8257141586609
"MDM","cesm2.MD.postP.02.SST.185001-201412","GOA",1.0000000085938
"MDM","cesm2.MD.postP.02.SST.185001-201412","EBS",1.0000000056389
"MDM","cesm2.MD.postP.03.SST.185001-201412","GOA",1.00000000928572
"MDM","cesm2.MD.postP.03.SST.185001-201412","EBS",1.00000000821561
"MDM","cesm2.MD.postP.04.SST.185001-201412","GOA",1.00000002283085
"MDM","cesm2.MD.postP.04.SST.185001-201412","EBS",1.00000000308559
"MDM","cesm2.MD.postP.05.SST.185001-201412","GOA",1.00000009008448
"MDM","cesm2.MD.postP.05.SST.185001-201412","EBS",7.94169292172552
"MDM","cesm2.MD.postP.06.SST.185001-201412","GOA",1.36037215035203
"MDM","cesm2.MD.postP.06.SST.185001-201412","EBS",1.00000000341129
"MDM","cesm2.MD.postP.07.SST.185001-201412","GOA",4.88870068353429
"MDM","cesm2.MD.postP.07.SST.185001-201412","EBS",1.00000012449702
"MDM","cesm2.MD.postP.08.SST.185001-201412","GOA",1.00000000287924
"MDM","cesm2.MD.postP.08.SST.185001-201412","EBS",1.00000000733871
"MDM","cesm2.MD.postP.09.SST.185001-201412","GOA",2.30081038501809
"MDM","cesm2.MD.postP.09.SST.185001-201412","EBS",2.27831413525085
"MDM","cesm2.MD.postP.10.SST.185001-201412","GOA",1.00000001486776
"MDM","cesm2.MD.postP.10.SST.185001-201412","EBS",1.0000000106681
"MDM","cesm2.MD.postP.11.SST.185001-201412","GOA",1.00000000594505
"MDM","cesm2.MD.postP.11.SST.185001-201412","EBS",2.60680396387556
"MDM","cesm2.MD.postP.12.SST.185001-201412","GOA",2.08567072588974
"MDM","cesm2.MD.postP.12.SST.185001-201412","EBS",1.00000004730321
"MDM","cesm2.MD.postP.13.SST.185001-201412","GOA",1.00000000924678
"MDM","cesm2.MD.postP.13.SST.185001-201412","EBS",2.13954554242662
"MDM","cesm2.MD.postP.14.SST.185001-201412","GOA",1.00000000658991
"MDM","cesm2.MD.postP.14.SST.185001-201412","EBS",1.00000000926861
"MDM","cesm2.MD.postP.15.SST.185001-201412","GOA",1.0000000141302
"MDM","cesm2.MD.postP.15.SST.185001-201412","EBS",1.00000001101168
"MDM","cesm2.MD.postP.16.SST.185001-201412","GOA",1.41624443642059
"MDM","cesm2.MD.postP.16.SST.185001-201412","EBS",1.00000001967313
"MDM","cesm2.MD.postP.17.SST.185001-201412","GOA",1.00000000933287
"MDM","cesm2.MD.postP.17.SST.185001-201412","EBS",1.00000001270227
"MDM","cesm2.MD.postP.18.SST.185001-201412","GOA",5.13474135674021
"MDM","cesm2.MD.postP.18.SST.185001-201412","EBS",1.00000000570717
"MDM","cesm2.MD.postP.19.SST.185001-201412","GOA",1.00000001040176
"MDM","cesm2.MD.postP.19.SST.185001-201412","EBS",1.00000000470329
"MDM","cesm2.MD.postP.20.SST.185001-201412","GOA",2.80319443470341
"MDM","cesm2.MD.postP.20.SST.185001-201412","EBS",2.0285176781883
