"year","AL.sd","member","model"
1964,0.0483826035359902,"LE2-1011.001","FCM"
1965,-0.0225959807168895,"LE2-1011.001","FCM"
1966,-0.0277444170543037,"LE2-1011.001","FCM"
1967,-0.66651239927584,"LE2-1011.001","FCM"
1968,-0.776718598120561,"LE2-1011.001","FCM"
1969,-1.57794137939767,"LE2-1011.001","FCM"
1970,-1.71658583009137,"LE2-1011.001","FCM"
1971,-1.23494523824925,"LE2-1011.001","FCM"
1972,-1.39093181893727,"LE2-1011.001","FCM"
1973,-0.632040788943456,"LE2-1011.001","FCM"
1974,-0.663954315273389,"LE2-1011.001","FCM"
1975,-0.71709896909087,"LE2-1011.001","FCM"
1976,-0.319371677695277,"LE2-1011.001","FCM"
1977,-0.0893356922527938,"LE2-1011.001","FCM"
1978,-0.0571719119774865,"LE2-1011.001","FCM"
1979,-0.0390219870083537,"LE2-1011.001","FCM"
1980,-0.077031728527915,"LE2-1011.001","FCM"
1981,0.376803727432254,"LE2-1011.001","FCM"
1982,0.408077329728367,"LE2-1011.001","FCM"
1983,0.324993746945623,"LE2-1011.001","FCM"
1984,0.728422996850377,"LE2-1011.001","FCM"
1985,0.729784995455201,"LE2-1011.001","FCM"
1986,0.109841325309444,"LE2-1011.001","FCM"
1987,0.109862726664145,"LE2-1011.001","FCM"
1988,-0.490367854428852,"LE2-1011.001","FCM"
1989,-0.39365808781024,"LE2-1011.001","FCM"
1990,-0.365440689952548,"LE2-1011.001","FCM"
1991,-0.732270098039611,"LE2-1011.001","FCM"
1992,-1.0752879632888,"LE2-1011.001","FCM"
1993,-1.0775007983499,"LE2-1011.001","FCM"
1994,-0.68456145723232,"LE2-1011.001","FCM"
1995,-0.521546697507686,"LE2-1011.001","FCM"
1996,-1.02899334550408,"LE2-1011.001","FCM"
1997,-0.973472211007892,"LE2-1011.001","FCM"
1998,-0.754737674660464,"LE2-1011.001","FCM"
1999,-0.328375873732274,"LE2-1011.001","FCM"
2000,0.275053069083186,"LE2-1011.001","FCM"
2001,0.614812288771382,"LE2-1011.001","FCM"
2002,0.672457706064183,"LE2-1011.001","FCM"
2003,0.600125785227265,"LE2-1011.001","FCM"
2004,0.685029625442058,"LE2-1011.001","FCM"
2005,0.618538873550355,"LE2-1011.001","FCM"
2006,0.558346654452008,"LE2-1011.001","FCM"
2007,0.48741759130541,"LE2-1011.001","FCM"
2008,0.512598100344076,"LE2-1011.001","FCM"
2009,0.371981474222132,"LE2-1011.001","FCM"
2010,0.190954282644224,"LE2-1011.001","FCM"
2011,0.293146107898533,"LE2-1011.001","FCM"
2012,0.298129163760355,"LE2-1011.001","FCM"
2013,0.122462811469566,"LE2-1011.001","FCM"
2014,-1.0075313020136,"LE2-1011.001","FCM"
1964,0.717932179166295,"LE2-1031.002","FCM"
1965,1.12757939213143,"LE2-1031.002","FCM"
1966,1.38775408012794,"LE2-1031.002","FCM"
1967,1.13345267749059,"LE2-1031.002","FCM"
1968,0.976128286441921,"LE2-1031.002","FCM"
1969,0.946306576267664,"LE2-1031.002","FCM"
1970,1.54701296696168,"LE2-1031.002","FCM"
1971,1.65910357989649,"LE2-1031.002","FCM"
1972,1.09200431974176,"LE2-1031.002","FCM"
1973,0.37455453751816,"LE2-1031.002","FCM"
1974,0.175965490184638,"LE2-1031.002","FCM"
1975,0.169030926702461,"LE2-1031.002","FCM"
1976,-0.0104294074222935,"LE2-1031.002","FCM"
1977,0.0156203709283771,"LE2-1031.002","FCM"
1978,0.140945931064237,"LE2-1031.002","FCM"
1979,-0.437080878866899,"LE2-1031.002","FCM"
1980,-1.03433125559791,"LE2-1031.002","FCM"
1981,-1.14330481265968,"LE2-1031.002","FCM"
1982,-0.521033951406332,"LE2-1031.002","FCM"
1983,-0.279736432694689,"LE2-1031.002","FCM"
1984,-0.224926854531811,"LE2-1031.002","FCM"
1985,-0.996740027999441,"LE2-1031.002","FCM"
1986,-1.3749301717138,"LE2-1031.002","FCM"
1987,-1.37545823041508,"LE2-1031.002","FCM"
1988,-0.878609391136984,"LE2-1031.002","FCM"
1989,-0.951655855466072,"LE2-1031.002","FCM"
1990,-0.281891569005481,"LE2-1031.002","FCM"
1991,0.934040001180709,"LE2-1031.002","FCM"
1992,0.969393301745849,"LE2-1031.002","FCM"
1993,1.05988899967648,"LE2-1031.002","FCM"
1994,1.28321928401521,"LE2-1031.002","FCM"
1995,1.13902883315057,"LE2-1031.002","FCM"
1996,0.914523680560684,"LE2-1031.002","FCM"
1997,0.760731115760923,"LE2-1031.002","FCM"
1998,0.736539790200146,"LE2-1031.002","FCM"
1999,0.848475246639781,"LE2-1031.002","FCM"
2000,1.00255261475079,"LE2-1031.002","FCM"
2001,1.1299894448209,"LE2-1031.002","FCM"
2002,1.30306908103368,"LE2-1031.002","FCM"
2003,0.920146188810472,"LE2-1031.002","FCM"
2004,1.08123976498116,"LE2-1031.002","FCM"
2005,0.614272441470505,"LE2-1031.002","FCM"
2006,-0.238366390021947,"LE2-1031.002","FCM"
2007,-0.317176357345072,"LE2-1031.002","FCM"
2008,-0.430494511054518,"LE2-1031.002","FCM"
2009,-0.549346763353502,"LE2-1031.002","FCM"
2010,0.243438363929145,"LE2-1031.002","FCM"
2011,0.498704849745616,"LE2-1031.002","FCM"
2012,-0.284734766056635,"LE2-1031.002","FCM"
2013,-0.174333298475504,"LE2-1031.002","FCM"
2014,-0.218256112627683,"LE2-1031.002","FCM"
1964,0.763854988735644,"LE2-1051.003","FCM"
1965,1.0106005333497,"LE2-1051.003","FCM"
1966,0.913687525338163,"LE2-1051.003","FCM"
1967,1.10466962821708,"LE2-1051.003","FCM"
1968,0.68421323194061,"LE2-1051.003","FCM"
1969,0.7954302100679,"LE2-1051.003","FCM"
1970,1.43568141156991,"LE2-1051.003","FCM"
1971,1.38314421347274,"LE2-1051.003","FCM"
1972,1.06023784590943,"LE2-1051.003","FCM"
1973,0.322692668272879,"LE2-1051.003","FCM"
1974,0.373012662798722,"LE2-1051.003","FCM"
1975,0.488115677179776,"LE2-1051.003","FCM"
1976,0.540401966995499,"LE2-1051.003","FCM"
1977,0.044086349185232,"LE2-1051.003","FCM"
1978,0.0461466372226322,"LE2-1051.003","FCM"
1979,0.0766847909050346,"LE2-1051.003","FCM"
1980,-0.143201258085686,"LE2-1051.003","FCM"
1981,-0.478784697779924,"LE2-1051.003","FCM"
1982,-0.445042867246697,"LE2-1051.003","FCM"
1983,-0.682768571687436,"LE2-1051.003","FCM"
1984,-0.341504509099725,"LE2-1051.003","FCM"
1985,-0.714923570226168,"LE2-1051.003","FCM"
1986,0.132832924283549,"LE2-1051.003","FCM"
1987,0.0771777611863293,"LE2-1051.003","FCM"
1988,-0.164235281294945,"LE2-1051.003","FCM"
1989,-0.459050760800277,"LE2-1051.003","FCM"
1990,-0.617092029310442,"LE2-1051.003","FCM"
1991,-0.333668458026178,"LE2-1051.003","FCM"
1992,-0.100402513816755,"LE2-1051.003","FCM"
1993,0.0826284121013997,"LE2-1051.003","FCM"
1994,0.482138120574826,"LE2-1051.003","FCM"
1995,-0.161608467986971,"LE2-1051.003","FCM"
1996,0.144786486705463,"LE2-1051.003","FCM"
1997,0.156098244434083,"LE2-1051.003","FCM"
1998,0.311529174237678,"LE2-1051.003","FCM"
1999,0.549712383214644,"LE2-1051.003","FCM"
2000,0.719407477803416,"LE2-1051.003","FCM"
2001,0.633282172043941,"LE2-1051.003","FCM"
2002,0.87080756847786,"LE2-1051.003","FCM"
2003,0.793911917170112,"LE2-1051.003","FCM"
2004,0.748866454983372,"LE2-1051.003","FCM"
2005,0.800822627145217,"LE2-1051.003","FCM"
2006,0.791536997423179,"LE2-1051.003","FCM"
2007,0.722267907669141,"LE2-1051.003","FCM"
2008,0.541345454366681,"LE2-1051.003","FCM"
2009,-0.217690325401299,"LE2-1051.003","FCM"
2010,0.323186299173982,"LE2-1051.003","FCM"
2011,0.101535737546775,"LE2-1051.003","FCM"
2012,0.183650493806656,"LE2-1051.003","FCM"
2013,0.0983619601536253,"LE2-1051.003","FCM"
2014,1.04052339804851,"LE2-1051.003","FCM"
1964,-1.21860865241591,"LE2-1071.004","FCM"
1965,-1.56297286266986,"LE2-1071.004","FCM"
1966,-1.58926770830178,"LE2-1071.004","FCM"
1967,-1.59711082812993,"LE2-1071.004","FCM"
1968,-1.75192421280616,"LE2-1071.004","FCM"
1969,-1.07056527211549,"LE2-1071.004","FCM"
1970,-1.05863799665601,"LE2-1071.004","FCM"
1971,-0.9676922481017,"LE2-1071.004","FCM"
1972,-1.02930343235797,"LE2-1071.004","FCM"
1973,-0.198798219328326,"LE2-1071.004","FCM"
1974,-0.367996664124951,"LE2-1071.004","FCM"
1975,0.788260235580089,"LE2-1071.004","FCM"
1976,0.522735573203955,"LE2-1071.004","FCM"
1977,0.782133794002124,"LE2-1071.004","FCM"
1978,0.713884489314497,"LE2-1071.004","FCM"
1979,0.970853217387433,"LE2-1071.004","FCM"
1980,0.972507872003411,"LE2-1071.004","FCM"
1981,1.21227100343925,"LE2-1071.004","FCM"
1982,1.24834530864903,"LE2-1071.004","FCM"
1983,1.26813571126445,"LE2-1071.004","FCM"
1984,0.906944445206754,"LE2-1071.004","FCM"
