"year","GOA.ar1","EBS.ar1","member","model"
1964,0.12414250902755,-0.0144412393069294,"LE2-1011.001","FCM"
1965,0.1224889422372,0.143846311851441,"LE2-1011.001","FCM"
1966,0.177055557972531,0.438577947775592,"LE2-1011.001","FCM"
1967,0.264028151986141,0.60579315228752,"LE2-1011.001","FCM"
1968,0.423998880267715,0.660623912547011,"LE2-1011.001","FCM"
1969,0.372336135319903,0.560134843172752,"LE2-1011.001","FCM"
1970,0.572660321923268,0.633687626693504,"LE2-1011.001","FCM"
1971,0.540858723590375,0.728779413496682,"LE2-1011.001","FCM"
1972,0.534636161002502,0.713708251021464,"LE2-1011.001","FCM"
1973,0.277374857762006,0.705623413644129,"LE2-1011.001","FCM"
1974,0.306325781971454,0.532633150049942,"LE2-1011.001","FCM"
1975,0.446569715184026,0.655047045259257,"LE2-1011.001","FCM"
1976,0.454765215276721,0.634120036693661,"LE2-1011.001","FCM"
1977,0.501053444523611,0.620296367066778,"LE2-1011.001","FCM"
1978,0.514008748930249,0.625666431145665,"LE2-1011.001","FCM"
1979,0.524554788754094,0.648327862332518,"LE2-1011.001","FCM"
1980,0.540222932325978,0.643267114285876,"LE2-1011.001","FCM"
1981,0.53199043934401,0.592610519590355,"LE2-1011.001","FCM"
1982,0.511269108841269,0.630838646164755,"LE2-1011.001","FCM"
1983,0.465074810679755,0.607342453050552,"LE2-1011.001","FCM"
1984,0.452665728722739,0.499980650646815,"LE2-1011.001","FCM"
1985,0.324737728352299,0.248386066137033,"LE2-1011.001","FCM"
1986,0.121854358626469,0.265842331117253,"LE2-1011.001","FCM"
1987,0.282397074359274,0.313296026320513,"LE2-1011.001","FCM"
1988,0.207770511874021,0.367022039381194,"LE2-1011.001","FCM"
1989,0.401511723418794,0.275541659455997,"LE2-1011.001","FCM"
1990,0.390416107148969,0.403429977055642,"LE2-1011.001","FCM"
1991,0.44485852315537,0.354056322891101,"LE2-1011.001","FCM"
1992,0.245721179459432,0.293649879664839,"LE2-1011.001","FCM"
1993,0.284159165040877,0.326950897444049,"LE2-1011.001","FCM"
1994,0.287172299028743,0.429677777757384,"LE2-1011.001","FCM"
1995,0.303250056238407,0.569017450221989,"LE2-1011.001","FCM"
1996,0.249087985410004,0.602147460362298,"LE2-1011.001","FCM"
1997,0.190030801448131,0.545663647627164,"LE2-1011.001","FCM"
1998,0.240906003819145,0.467432986736901,"LE2-1011.001","FCM"
1999,0.350375841972158,0.656622131001239,"LE2-1011.001","FCM"
2000,0.317389555611034,0.609841112847266,"LE2-1011.001","FCM"
2001,0.305560522296534,0.570973715799802,"LE2-1011.001","FCM"
2002,0.356364580735946,0.575596926099551,"LE2-1011.001","FCM"
2003,0.357665113974864,0.572110368310852,"LE2-1011.001","FCM"
2004,0.351142523483639,0.540660738114311,"LE2-1011.001","FCM"
2005,0.336017170959526,0.568417740229891,"LE2-1011.001","FCM"
2006,0.382203006213667,0.625288756776147,"LE2-1011.001","FCM"
2007,0.332677974024809,0.61616700268706,"LE2-1011.001","FCM"
2008,0.291212758458707,0.563984700414796,"LE2-1011.001","FCM"
2009,0.28716009029768,0.489230483596639,"LE2-1011.001","FCM"
2010,0.282029753185833,0.435524949619427,"LE2-1011.001","FCM"
2011,0.314922727452407,0.439146750554023,"LE2-1011.001","FCM"
2012,0.319630565660357,0.525289538189303,"LE2-1011.001","FCM"
2013,0.267303562573756,0.541070981992067,"LE2-1011.001","FCM"
2014,0.617731852093288,0.677202403566659,"LE2-1011.001","FCM"
1964,0.555180758038407,0.362318470540462,"LE2-1031.002","FCM"
1965,0.511392344384862,0.292595467365906,"LE2-1031.002","FCM"
1966,0.394226572742743,0.266150213141835,"LE2-1031.002","FCM"
1967,0.167704597643961,0.28776475628568,"LE2-1031.002","FCM"
1968,0.233200854810074,0.333380017747443,"LE2-1031.002","FCM"
1969,0.2050564518343,0.337783046982249,"LE2-1031.002","FCM"
1970,0.240822558900056,0.360508136330954,"LE2-1031.002","FCM"
1971,0.14813392430765,0.25078314843879,"LE2-1031.002","FCM"
1972,0.179996663084987,0.230272394008318,"LE2-1031.002","FCM"
1973,0.18144356041751,0.160200177625722,"LE2-1031.002","FCM"
1974,0.184113631223609,0.190076895016267,"LE2-1031.002","FCM"
1975,0.141211384042609,0.218651156853457,"LE2-1031.002","FCM"
1976,0.15658555826899,0.260168250214948,"LE2-1031.002","FCM"
1977,0.132671066872417,0.209551672695522,"LE2-1031.002","FCM"
1978,0.18894013369933,0.309414536073965,"LE2-1031.002","FCM"
1979,0.241619403007212,0.279836884663832,"LE2-1031.002","FCM"
1980,0.00914832854020818,-0.000733335141078372,"LE2-1031.002","FCM"
1981,-0.0777519029936208,-0.134276035231496,"LE2-1031.002","FCM"
1982,-0.13145585541351,-0.126611571443228,"LE2-1031.002","FCM"
1983,-0.0483132501963509,-0.00809743091900098,"LE2-1031.002","FCM"
1984,-0.0141119178669539,0.0351810133708254,"LE2-1031.002","FCM"
1985,0.0948414434969768,0.107395486436672,"LE2-1031.002","FCM"
1986,0.0769273643471966,0.171332855522939,"LE2-1031.002","FCM"
1987,0.069655559206722,0.122867043630242,"LE2-1031.002","FCM"
1988,0.0113495755805865,0.0470146557262979,"LE2-1031.002","FCM"
1989,0.163447773361889,0.0345803130012004,"LE2-1031.002","FCM"
1990,0.104049019243678,0.00960942825287511,"LE2-1031.002","FCM"
1991,0.0588330053243419,-0.0176074370270931,"LE2-1031.002","FCM"
1992,0.184225715862874,-0.0959676605243047,"LE2-1031.002","FCM"
1993,0.273210578642389,0.0870860164576397,"LE2-1031.002","FCM"
1994,0.174778166109492,0.0534933237784736,"LE2-1031.002","FCM"
1995,0.353555955685954,0.0865506187574545,"LE2-1031.002","FCM"
1996,0.473413492785822,0.102255691043825,"LE2-1031.002","FCM"
1997,0.49533751585863,0.0440456990028461,"LE2-1031.002","FCM"
1998,0.507137403743742,0.108655709319163,"LE2-1031.002","FCM"
1999,0.550930134937804,0.0631589563935416,"LE2-1031.002","FCM"
2000,0.555488724213442,0.0322939521524587,"LE2-1031.002","FCM"
2001,0.530941224255477,0.112667963701475,"LE2-1031.002","FCM"
2002,0.497475385507251,0.183552621557166,"LE2-1031.002","FCM"
2003,0.456020134549094,0.158505890947263,"LE2-1031.002","FCM"
2004,0.525278776343677,0.146059405824067,"LE2-1031.002","FCM"
2005,0.530520363179917,0.20117701055974,"LE2-1031.002","FCM"
2006,0.334698734972522,0.145922677796285,"LE2-1031.002","FCM"
2007,0.0774260351076918,-0.231282397328104,"LE2-1031.002","FCM"
2008,0.349172090568228,-0.318532500501223,"LE2-1031.002","FCM"
2009,0.393684484599145,-0.092035313523761,"LE2-1031.002","FCM"
2010,0.462118216160116,0.152404565113582,"LE2-1031.002","FCM"
2011,0.47979617689945,0.181267617634443,"LE2-1031.002","FCM"
