"year","AL.sd","member","model"
1964,573.880136845571,"LE2-1011.001","FCM"
1965,566.348628625856,"LE2-1011.001","FCM"
1966,565.770580511625,"LE2-1011.001","FCM"
1967,498.517056487479,"LE2-1011.001","FCM"
1968,487.14191563609,"LE2-1011.001","FCM"
1969,402.220231116599,"LE2-1011.001","FCM"
1970,387.320743647697,"LE2-1011.001","FCM"
1971,438.557190387028,"LE2-1011.001","FCM"
1972,421.902631944929,"LE2-1011.001","FCM"
1973,501.911988138766,"LE2-1011.001","FCM"
1974,498.424400312384,"LE2-1011.001","FCM"
1975,492.920052279829,"LE2-1011.001","FCM"
1976,534.851139398187,"LE2-1011.001","FCM"
1977,559.23745354266,"LE2-1011.001","FCM"
1978,562.474086694166,"LE2-1011.001","FCM"
1979,564.438879794564,"LE2-1011.001","FCM"
1980,560.440152751215,"LE2-1011.001","FCM"
1981,608.620811172952,"LE2-1011.001","FCM"
1982,611.956715868164,"LE2-1011.001","FCM"
1983,603.240279681456,"LE2-1011.001","FCM"
1984,645.669416897907,"LE2-1011.001","FCM"
1985,645.782974577996,"LE2-1011.001","FCM"
1986,580.508267769699,"LE2-1011.001","FCM"
1987,580.61342644311,"LE2-1011.001","FCM"
1988,516.929501870413,"LE2-1011.001","FCM"
1989,527.243945634369,"LE2-1011.001","FCM"
1990,530.20431159611,"LE2-1011.001","FCM"
1991,491.368070042477,"LE2-1011.001","FCM"
1992,455.280700616798,"LE2-1011.001","FCM"
1993,454.865452165175,"LE2-1011.001","FCM"
1994,496.657069681157,"LE2-1011.001","FCM"
1995,513.929136510029,"LE2-1011.001","FCM"
1996,460.613275468105,"LE2-1011.001","FCM"
1997,466.440952632153,"LE2-1011.001","FCM"
1998,489.341766639168,"LE2-1011.001","FCM"
1999,533.853838999075,"LE2-1011.001","FCM"
2000,597.830690326451,"LE2-1011.001","FCM"
2001,633.836835164235,"LE2-1011.001","FCM"
2002,639.999444461493,"LE2-1011.001","FCM"
2003,632.285419813876,"LE2-1011.001","FCM"
2004,641.394329400104,"LE2-1011.001","FCM"
2005,634.179561808651,"LE2-1011.001","FCM"
2006,628.026940567471,"LE2-1011.001","FCM"
2007,620.480399752316,"LE2-1011.001","FCM"
2008,622.913119192424,"LE2-1011.001","FCM"
2009,608.116830152177,"LE2-1011.001","FCM"
2010,589.077385314665,"LE2-1011.001","FCM"
2011,599.968793661783,"LE2-1011.001","FCM"
2012,600.273671045152,"LE2-1011.001","FCM"
2013,581.47271256693,"LE2-1011.001","FCM"
2014,461.699274361762,"LE2-1011.001","FCM"
1964,670.167906539031,"LE2-1031.002","FCM"
1965,703.90246994608,"LE2-1031.002","FCM"
1966,725.377489796821,"LE2-1031.002","FCM"
1967,704.309015493138,"LE2-1031.002","FCM"
1968,691.337904664109,"LE2-1031.002","FCM"
1969,688.88648836466,"LE2-1031.002","FCM"
1970,738.677308390084,"LE2-1031.002","FCM"
1971,747.971706969336,"LE2-1031.002","FCM"
1972,700.854148061802,"LE2-1031.002","FCM"
1973,641.292010021129,"LE2-1031.002","FCM"
1974,624.883947301366,"LE2-1031.002","FCM"
1975,624.314433145887,"LE2-1031.002","FCM"
1976,609.492539589062,"LE2-1031.002","FCM"
1977,611.663312426385,"LE2-1031.002","FCM"
1978,622.154892785001,"LE2-1031.002","FCM"
1979,574.422137628792,"LE2-1031.002","FCM"
1980,524.793426468816,"LE2-1031.002","FCM"
1981,515.761603586481,"LE2-1031.002","FCM"
1982,567.211660319884,"LE2-1031.002","FCM"
1983,587.10601447192,"LE2-1031.002","FCM"
1984,591.667089880194,"LE2-1031.002","FCM"
1985,527.872489829852,"LE2-1031.002","FCM"
1986,496.730813718418,"LE2-1031.002","FCM"
1987,496.687019602783,"LE2-1031.002","FCM"
1988,537.876496439558,"LE2-1031.002","FCM"
1989,531.795910159425,"LE2-1031.002","FCM"
1990,587.09498927099,"LE2-1031.002","FCM"
1991,687.847563147268,"LE2-1031.002","FCM"
1992,690.819707193393,"LE2-1031.002","FCM"
1993,698.295520862343,"LE2-1031.002","FCM"
1994,716.702930439948,"LE2-1031.002","FCM"
1995,704.72060075831,"LE2-1031.002","FCM"
1996,686.16669488632,"LE2-1031.002","FCM"
1997,673.425233756349,"LE2-1031.002","FCM"
1998,671.286770067726,"LE2-1031.002","FCM"
1999,680.526755455208,"LE2-1031.002","FCM"
2000,693.306543517056,"LE2-1031.002","FCM"
2001,703.922394308001,"LE2-1031.002","FCM"
2002,718.216561555834,"LE2-1031.002","FCM"
2003,686.590425431529,"LE2-1031.002","FCM"
2004,699.881114170911,"LE2-1031.002","FCM"
2005,661.151368409386,"LE2-1031.002","FCM"
2006,590.630320600106,"LE2-1031.002","FCM"
2007,584.119335272278,"LE2-1031.002","FCM"
2008,574.689491040785,"LE2-1031.002","FCM"
2009,564.794160633834,"LE2-1031.002","FCM"
2010,630.575282742589,"LE2-1031.002","FCM"
2011,651.555250025741,"LE2-1031.002","FCM"
2012,586.798240631927,"LE2-1031.002","FCM"
2013,595.959638120295,"LE2-1031.002","FCM"
2014,592.276429622911,"LE2-1031.002","FCM"
1964,656.474842694551,"LE2-1051.003","FCM"
1965,681.939239812068,"LE2-1051.003","FCM"
1966,671.937667728228,"LE2-1051.003","FCM"
1967,691.645744222395,"LE2-1051.003","FCM"
1968,648.254198211199,"LE2-1051.003","FCM"
1969,659.729671429887,"LE2-1051.003","FCM"
1970,725.79999251827,"LE2-1051.003","FCM"
1971,720.379354745286,"LE2-1051.003","FCM"
1972,687.054603391344,"LE2-1051.003","FCM"
1973,610.944369090909,"LE2-1051.003","FCM"
1974,616.137189599441,"LE2-1051.003","FCM"
1975,628.015277186716,"LE2-1051.003","FCM"
1976,633.409927372479,"LE2-1051.003","FCM"
1977,582.193526570399,"LE2-1051.003","FCM"
1978,582.406153757263,"LE2-1051.003","FCM"
1979,585.555267109766,"LE2-1051.003","FCM"
1980,562.863836694743,"LE2-1051.003","FCM"
1981,528.233469471355,"LE2-1051.003","FCM"
1982,531.715794618383,"LE2-1051.003","FCM"
1983,507.184903318728,"LE2-1051.003","FCM"
1984,542.404013031739,"LE2-1051.003","FCM"
1985,503.866757800581,"LE2-1051.003","FCM"
1986,591.357067904639,"LE2-1051.003","FCM"
1987,585.614066595487,"LE2-1051.003","FCM"
1988,560.7020445328,"LE2-1051.003","FCM"
1989,530.27652209194,"LE2-1051.003","FCM"
1990,513.966635913294,"LE2-1051.003","FCM"
1991,543.215927296153,"LE2-1051.003","FCM"
1992,567.289732381519,"LE2-1051.003","FCM"
1993,586.177135037032,"LE2-1051.003","FCM"
1994,627.406107387477,"LE2-1051.003","FCM"
1995,560.970120677747,"LE2-1051.003","FCM"
1996,592.585754750141,"LE2-1051.003","FCM"
1997,593.752518624444,"LE2-1051.003","FCM"
1998,609.793332543138,"LE2-1051.003","FCM"
1999,634.375298450105,"LE2-1051.003","FCM"
2000,651.886014374522,"LE2-1051.003","FCM"
2001,642.998244063093,"LE2-1051.003","FCM"
2002,667.511108955752,"LE2-1051.003","FCM"
2003,659.57395123073,"LE2-1051.003","FCM"
2004,654.924838026682,"LE2-1051.003","FCM"
2005,660.286276561053,"LE2-1051.003","FCM"
2006,659.328043803465,"LE2-1051.003","FCM"
2007,652.179836509593,"LE2-1051.003","FCM"
2008,633.507744211821,"LE2-1051.003","FCM"
2009,555.179889709018,"LE2-1051.003","FCM"
2010,610.998753110147,"LE2-1051.003","FCM"
2011,588.124423141762,"LE2-1051.003","FCM"
2012,596.597238034613,"LE2-1051.003","FCM"
2013,587.795905872249,"LE2-1051.003","FCM"
2014,685.029413102474,"LE2-1051.003","FCM"
1964,450.762645572266,"LE2-1071.004","FCM"
1965,413.534826244963,"LE2-1071.004","FCM"
1966,410.8266908235,"LE2-1071.004","FCM"
1967,410.037279050595,"LE2-1071.004","FCM"
1968,393.911176968169,"LE2-1071.004","FCM"
1969,467.203241631154,"LE2-1071.004","FCM"
1970,468.415928356033,"LE2-1071.004","FCM"
1971,477.842434499693,"LE2-1071.004","FCM"
1972,471.762173294061,"LE2-1071.004","FCM"
1973,561.608218790598,"LE2-1071.004","FCM"
1974,544.011629788661,"LE2-1071.004","FCM"
1975,672.034050835372,"LE2-1071.004","FCM"
1976,645.077088535295,"LE2-1071.004","FCM"
1977,674.589692539775,"LE2-1071.004","FCM"
1978,666.469565391823,"LE2-1071.004","FCM"
1979,693.643748229371,"LE2-1071.004","FCM"
1980,693.833234317504,"LE2-1071.004","FCM"
1981,720.722986347332,"LE2-1071.004","FCM"
1982,724.886738075895,"LE2-1071.004","FCM"
1983,726.913441499683,"LE2-1071.004","FCM"
1984,686.961906637252,"LE2-1071.004","FCM"
1985,686.228265400382,"LE2-1071.004","FCM"
1986,714.952318006382,"LE2-1071.004","FCM"
1987,766.68255908144,"LE2-1071.004","FCM"
1988,665.252590240707,"LE2-1071.004","FCM"
1989,710.15357527412,"LE2-1071.004","FCM"
1990,649.511453256525,"LE2-1071.004","FCM"
1991,622.78486693317,"LE2-1071.004","FCM"
1992,596.534242089808,"LE2-1071.004","FCM"
1993,592.518477371426,"LE2-1071.004","FCM"
1994,566.344444743362,"LE2-1071.004","FCM"
1995,612.86317073924,"LE2-1071.004","FCM"
1996,596.082614317849,"LE2-1071.004","FCM"
1997,629.216354775081,"LE2-1071.004","FCM"
1998,660.587923957319,"LE2-1071.004","FCM"
1999,662.537812664841,"LE2-1071.004","FCM"
2000,658.626520546766,"LE2-1071.004","FCM"
2001,677.673201352297,"LE2-1071.004","FCM"
2002,635.686327784848,"LE2-1071.004","FCM"
2003,650.796160055147,"LE2-1071.004","FCM"
2004,601.770904637659,"LE2-1071.004","FCM"
2005,561.005856029912,"LE2-1071.004","FCM"
2006,565.176596959627,"LE2-1071.004","FCM"
2007,566.416334796116,"LE2-1071.004","FCM"
2008,562.085389545969,"LE2-1071.004","FCM"
2009,516.452039088303,"LE2-1071.004","FCM"
2010,502.303990153043,"LE2-1071.004","FCM"
2011,456.839618106743,"LE2-1071.004","FCM"
2012,450.139873665483,"LE2-1071.004","FCM"
2013,437.819967636436,"LE2-1071.004","FCM"
2014,471.62336218402,"LE2-1071.004","FCM"
1964,520.560948211896,"LE2-1091.005","FCM"
1965,517.138411776518,"LE2-1091.005","FCM"
1966,515.690290152036,"LE2-1091.005","FCM"
1967,506.948918671234,"LE2-1091.005","FCM"
1968,496.218949754314,"LE2-1091.005","FCM"
1969,513.055659781581,"LE2-1091.005","FCM"
1970,498.456929541798,"LE2-1091.005","FCM"
