"model","member","region","slope"
"FCM","LE2-1011.001","GOA",-0.000223029594428604
"FCM","LE2-1011.001","EBS",-3.15830218891469e-05
"FCM","LE2-1031.002","GOA",-0.000263857715795658
"FCM","LE2-1031.002","EBS",-0.000126861443285338
"FCM","LE2-1051.003","GOA",-0.000294494625058439
"FCM","LE2-1051.003","EBS",-5.04666728235249e-06
"FCM","LE2-1071.004","GOA",-0.000320289625356852
"FCM","LE2-1071.004","EBS",-0.000205309793973526
"FCM","LE2-1091.005","GOA",-0.000332435653756123
"FCM","LE2-1091.005","EBS",-0.000227605604037382
"FCM","LE2-1111.006","GOA",-0.000286098353541566
"FCM","LE2-1111.006","EBS",-7.65860612486493e-05
"FCM","LE2-1131.007","GOA",-0.000373448640336889
"FCM","LE2-1131.007","EBS",-0.000235578534158222
"FCM","LE2-1151.008","GOA",-0.000244747154633853
"FCM","LE2-1151.008","EBS",-5.9960896737509e-05
"FCM","LE2-1171.009","GOA",-0.000301179491922013
"FCM","LE2-1171.009","EBS",-0.00020411588450832
"FCM","LE2-1191.010","GOA",-0.000288684877900308
"FCM","LE2-1191.010","EBS",-0.000132492024063541
"FCM","LE2-1231.011","GOA",-0.000233249979595438
"FCM","LE2-1231.011","EBS",-0.000104375027827621
"FCM","LE2-1231.012","GOA",-0.000314586010496489
"FCM","LE2-1231.012","EBS",-0.000167643450050033
"FCM","LE2-1231.013","GOA",-0.000240060007640131
"FCM","LE2-1231.013","EBS",-0.000103354041038378
"FCM","LE2-1231.014","GOA",-0.000315017166113286
"FCM","LE2-1231.014","EBS",-0.000222853042397545
"FCM","LE2-1231.015","GOA",-0.000361461030620587
"FCM","LE2-1231.015","EBS",-0.000204132529334121
"FCM","LE2-1231.016","GOA",-0.000322724775742282
"FCM","LE2-1231.016","EBS",-0.000177103141074635
"FCM","LE2-1231.017","GOA",-0.000349974487832407
"FCM","LE2-1231.017","EBS",-0.000214860312013193
"FCM","LE2-1231.018","GOA",-0.000219897086862459
"FCM","LE2-1231.018","EBS",-0.000147339176693966
"FCM","LE2-1231.019","GOA",-0.00018393360826832
"FCM","LE2-1231.019","EBS",-3.69516852980474e-05
"FCM","LE2-1231.020","GOA",-0.000374999398690133
"FCM","LE2-1231.020","EBS",-0.000218469292681883
"FCM","LE2-1251.011","GOA",-0.000293330700057236
"FCM","LE2-1251.011","EBS",-0.000150565560416617
"FCM","LE2-1251.012","GOA",-0.000220210647019485
"FCM","LE2-1251.012","EBS",-3.90887949104298e-05
"FCM","LE2-1251.013","GOA",-0.000292539607954912
"FCM","LE2-1251.013","EBS",-0.000157669198828594
"FCM","LE2-1251.014","GOA",-0.000305194105231871
"FCM","LE2-1251.014","EBS",-0.000121080850671275
"FCM","LE2-1251.015","GOA",-0.000295962251144327
"FCM","LE2-1251.015","EBS",-7.85064329726833e-05
"FCM","LE2-1251.016","GOA",-0.000169349079952946
"FCM","LE2-1251.016","EBS",6.17403387349997e-05
"FCM","LE2-1251.017","GOA",-0.00032339900840849
"FCM","LE2-1251.017","EBS",-0.000189482854621583
"FCM","LE2-1251.018","GOA",-0.000284101380938687
"FCM","LE2-1251.018","EBS",-6.06009050930988e-05
"FCM","LE2-1251.019","GOA",-0.000289247885031244
"FCM","LE2-1251.019","EBS",-0.000189846230503679
"FCM","LE2-1251.020","GOA",-0.000313695929528424
"FCM","LE2-1251.020","EBS",-0.000161452608725798
"FCM","LE2-1281.011","GOA",-0.00029350433798895
"FCM","LE2-1281.011","EBS",-9.73533211144147e-05
"FCM","LE2-1281.012","GOA",-0.000316423927971941
"FCM","LE2-1281.012","EBS",-0.000127123584269228
"FCM","LE2-1281.013","GOA",-0.00022932296805977
"FCM","LE2-1281.013","EBS",-7.01201970351739e-05
"FCM","LE2-1281.014","GOA",-0.000293916251595614
"FCM","LE2-1281.014","EBS",-8.28680630139417e-05
"FCM","LE2-1281.015","GOA",-0.000248702126942501
"FCM","LE2-1281.015","EBS",-0.000115207587042098
"FCM","LE2-1281.016","GOA",-0.000265343379675981
"FCM","LE2-1281.016","EBS",2.4498979014566e-05
"FCM","LE2-1281.017","GOA",-0.000346404846586256
"FCM","LE2-1281.017","EBS",-0.000124116545069735
"FCM","LE2-1281.018","GOA",-0.000366163033011466
"FCM","LE2-1281.018","EBS",-0.000159572457470517
"FCM","LE2-1281.019","GOA",-0.000232028623717768
"FCM","LE2-1281.019","EBS",-3.51047992084448e-05
"FCM","LE2-1281.020","GOA",-0.000291496447571769
"FCM","LE2-1281.020","EBS",-0.000179864023012814
"FCM","LE2-1301.011","GOA",-0.000282052625680397
"FCM","LE2-1301.011","EBS",-0.000133788101088581
"FCM","LE2-1301.012","GOA",-0.000332534998837471
"FCM","LE2-1301.012","EBS",-0.00022073781121211
"FCM","LE2-1301.013","GOA",-0.000324520296169649
"FCM","LE2-1301.013","EBS",-0.000149194601813822
"FCM","LE2-1301.014","GOA",-0.000303439514307832
"FCM","LE2-1301.014","EBS",-0.000101175509300778
"FCM","LE2-1301.015","GOA",-0.000305689666674975
"FCM","LE2-1301.015","EBS",-0.000199845275067277
"FCM","LE2-1301.016","GOA",-0.000317926492067082
"FCM","LE2-1301.016","EBS",-0.000115584465548458
"FCM","LE2-1301.017","GOA",-0.00038337043551709
"FCM","LE2-1301.017","EBS",-0.000237022208516108
"FCM","LE2-1301.018","GOA",-0.000262049361763556
"FCM","LE2-1301.018","EBS",-7.79056190701488e-05
"FCM","LE2-1301.019","GOA",-5.93895274398747e-05
"FCM","LE2-1301.019","EBS",-1.77186529239564e-05
"FCM","LE2-1301.020","GOA",-0.000102531882390063
"FCM","LE2-1301.020","EBS",-4.21776000619717e-05
"MDM","01","GOA",3.18768691257272e-05
"MDM","01","EBS",7.7593033845605e-05
"MDM","02","GOA",-0.000222393479230787
"MDM","02","EBS",-2.16776766606027e-06
"MDM","03","GOA",-0.000199570418106755
"MDM","03","EBS",-6.51483835911107e-05
"MDM","04","GOA",-0.000174202124524028
"MDM","04","EBS",5.35269208421645e-05
"MDM","05","GOA",-0.000111133864841915
"MDM","05","EBS",7.30023861836303e-05
"MDM","06","GOA",-0.000154119825916258
"MDM","06","EBS",8.96519347573926e-05
"MDM","07","GOA",-0.000329172153310031
"MDM","07","EBS",-5.35490386274065e-06
"MDM","08","GOA",-0.000108137205918919
"MDM","08","EBS",0.000134082553726403
"MDM","09","GOA",-0.00025220168135393
