"ensemble","member","sst.status","slp.status","sst.attrs","slp.attrs"
"FCM","LE2-1011.001","no_metadata","match","","Mon Jan 16 12:49:13 2023: cdo cat b.e21.BHISTsmbb.f09_g17.LE2-1011.001.cam.h0.PSL.185001-185912.nc b.e21.BHISTsmbb.f09_g17.LE2-1011.001.cam.h0.PSL.186001-186912.nc b.e21.BHISTsmbb.f09_g17.LE2-1011.001.cam.h0.PSL.187001-187912.nc b.e21.BHISTsmbb.f09_g17.LE2-1011.001.cam.h0.PSL.188001-188912.nc b.e21.BHISTsmbb.f09_g17.LE2-1011.001.cam.h0.PSL.189001-189912.nc b.e21.BHISTsmbb.f09_g17.LE2-1011.001.cam."
"FCM","LE2-1031.002","no_metadata","match","","Mon Jan 16 12:49:19 2023: cdo cat b.e21.BHISTsmbb.f09_g17.LE2-1031.002.cam.h0.PSL.185001-185912.nc b.e21.BHISTsmbb.f09_g17.LE2-1031.002.cam.h0.PSL.186001-186912.nc b.e21.BHISTsmbb.f09_g17.LE2-1031.002.cam.h0.PSL.187001-187912.nc b.e21.BHISTsmbb.f09_g17.LE2-1031.002.cam.h0.PSL.188001-188912.nc b.e21.BHISTsmbb.f09_g17.LE2-1031.002.cam.h0.PSL.189001-189912.nc b.e21.BHISTsmbb.f09_g17.LE2-1031.002.cam."
"FCM","LE2-1051.003","no_metadata","match","","Mon Jan 16 12:49:25 2023: cdo cat b.e21.BHISTsmbb.f09_g17.LE2-1051.003.cam.h0.PSL.185001-185912.nc b.e21.BHISTsmbb.f09_g17.LE2-1051.003.cam.h0.PSL.186001-186912.nc b.e21.BHISTsmbb.f09_g17.LE2-1051.003.cam.h0.PSL.187001-187912.nc b.e21.BHISTsmbb.f09_g17.LE2-1051.003.cam.h0.PSL.188001-188912.nc b.e21.BHISTsmbb.f09_g17.LE2-1051.003.cam.h0.PSL.189001-189912.nc b.e21.BHISTsmbb.f09_g17.LE2-1051.003.cam."
"FCM","LE2-1071.004","no_metadata","match","","Mon Jan 16 12:49:31 2023: cdo cat b.e21.BHISTsmbb.f09_g17.LE2-1071.004.cam.h0.PSL.185001-185912.nc b.e21.BHISTsmbb.f09_g17.LE2-1071.004.cam.h0.PSL.186001-186912.nc b.e21.BHISTsmbb.f09_g17.LE2-1071.004.cam.h0.PSL.187001-187912.nc b.e21.BHISTsmbb.f09_g17.LE2-1071.004.cam.h0.PSL.188001-188912.nc b.e21.BHISTsmbb.f09_g17.LE2-1071.004.cam.h0.PSL.189001-189912.nc b.e21.BHISTsmbb.f09_g17.LE2-1071.004.cam."
"FCM","LE2-1091.005","no_metadata","match","","Mon Jan 16 12:49:37 2023: cdo cat b.e21.BHISTsmbb.f09_g17.LE2-1091.005.cam.h0.PSL.185001-185912.nc b.e21.BHISTsmbb.f09_g17.LE2-1091.005.cam.h0.PSL.186001-186912.nc b.e21.BHISTsmbb.f09_g17.LE2-1091.005.cam.h0.PSL.187001-187912.nc b.e21.BHISTsmbb.f09_g17.LE2-1091.005.cam.h0.PSL.188001-188912.nc b.e21.BHISTsmbb.f09_g17.LE2-1091.005.cam.h0.PSL.189001-189912.nc b.e21.BHISTsmbb.f09_g17.LE2-1091.005.cam."
"FCM","LE2-1111.006","no_metadata","match","","Mon Jan 16 12:49:43 2023: cdo cat b.e21.BHISTsmbb.f09_g17.LE2-1111.006.cam.h0.PSL.185001-185912.nc b.e21.BHISTsmbb.f09_g17.LE2-1111.006.cam.h0.PSL.186001-186912.nc b.e21.BHISTsmbb.f09_g17.LE2-1111.006.cam.h0.PSL.187001-187912.nc b.e21.BHISTsmbb.f09_g17.LE2-1111.006.cam.h0.PSL.188001-188912.nc b.e21.BHISTsmbb.f09_g17.LE2-1111.006.cam.h0.PSL.189001-189912.nc b.e21.BHISTsmbb.f09_g17.LE2-1111.006.cam."
"FCM","LE2-1131.007","no_metadata","match","","Mon Jan 16 12:49:49 2023: cdo cat b.e21.BHISTsmbb.f09_g17.LE2-1131.007.cam.h0.PSL.185001-185912.nc b.e21.BHISTsmbb.f09_g17.LE2-1131.007.cam.h0.PSL.186001-186912.nc b.e21.BHISTsmbb.f09_g17.LE2-1131.007.cam.h0.PSL.187001-187912.nc b.e21.BHISTsmbb.f09_g17.LE2-1131.007.cam.h0.PSL.188001-188912.nc b.e21.BHISTsmbb.f09_g17.LE2-1131.007.cam.h0.PSL.189001-189912.nc b.e21.BHISTsmbb.f09_g17.LE2-1131.007.cam."
"FCM","LE2-1151.008","no_metadata","match","","Mon Jan 16 12:49:55 2023: cdo cat b.e21.BHISTsmbb.f09_g17.LE2-1151.008.cam.h0.PSL.185001-185912.nc b.e21.BHISTsmbb.f09_g17.LE2-1151.008.cam.h0.PSL.186001-186912.nc b.e21.BHISTsmbb.f09_g17.LE2-1151.008.cam.h0.PSL.187001-187912.nc b.e21.BHISTsmbb.f09_g17.LE2-1151.008.cam.h0.PSL.188001-188912.nc b.e21.BHISTsmbb.f09_g17.LE2-1151.008.cam.h0.PSL.189001-189912.nc b.e21.BHISTsmbb.f09_g17.LE2-1151.008.cam."
"FCM","LE2-1171.009","no_metadata","match","","Mon Jan 16 12:50:00 2023: cdo cat b.e21.BHISTsmbb.f09_g17.LE2-1171.009.cam.h0.PSL.185001-185912.nc b.e21.BHISTsmbb.f09_g17.LE2-1171.009.cam.h0.PSL.186001-186912.nc b.e21.BHISTsmbb.f09_g17.LE2-1171.009.cam.h0.PSL.187001-187912.nc b.e21.BHISTsmbb.f09_g17.LE2-1171.009.cam.h0.PSL.188001-188912.nc b.e21.BHISTsmbb.f09_g17.LE2-1171.009.cam.h0.PSL.189001-189912.nc b.e21.BHISTsmbb.f09_g17.LE2-1171.009.cam."
"FCM","LE2-1191.010","no_metadata","match","","Mon Jan 16 12:50:06 2023: cdo cat b.e21.BHISTsmbb.f09_g17.LE2-1191.010.cam.h0.PSL.185001-185912.nc b.e21.BHISTsmbb.f09_g17.LE2-1191.010.cam.h0.PSL.186001-186912.nc b.e21.BHISTsmbb.f09_g17.LE2-1191.010.cam.h0.PSL.187001-187912.nc b.e21.BHISTsmbb.f09_g17.LE2-1191.010.cam.h0.PSL.188001-188912.nc b.e21.BHISTsmbb.f09_g17.LE2-1191.010.cam.h0.PSL.189001-189912.nc b.e21.BHISTsmbb.f09_g17.LE2-1191.010.cam."
