"ensemble","member","sst.n","slp.n","same.length","sst.cal","slp.cal","same.cal","sst.units","slp.units"
"FCM","LE2-1011.001",1980,1980,TRUE,"365_day","365_day",TRUE,"days since 0000-01-01 00:00:00","days since 1850-01-01 00:00:00"
"FCM","LE2-1031.002",1980,1980,TRUE,"365_day","365_day",TRUE,"days since 0000-01-01 00:00:00","days since 1850-01-01 00:00:00"
"FCM","LE2-1051.003",1980,1980,TRUE,"365_day","365_day",TRUE,"days since 0000-01-01 00:00:00","days since 1850-01-01 00:00:00"
"FCM","LE2-1071.004",1980,1980,TRUE,"365_day","365_day",TRUE,"days since 0000-01-01 00:00:00","days since 1850-01-01 00:00:00"
"FCM","LE2-1091.005",1980,1980,TRUE,"365_day","365_day",TRUE,"days since 0000-01-01 00:00:00","days since 1850-01-01 00:00:00"
"FCM","LE2-1111.006",1980,1980,TRUE,"365_day","365_day",TRUE,"days since 0000-01-01 00:00:00","days since 1850-01-01 00:00:00"
"FCM","LE2-1131.007",1980,1980,TRUE,"365_day","365_day",TRUE,"days since 0000-01-01 00:00:00","days since 1850-01-01 00:00:00"
"FCM","LE2-1151.008",1980,1980,TRUE,"365_day","365_day",TRUE,"days since 0000-01-01 00:00:00","days since 1850-01-01 00:00:00"
"FCM","LE2-1171.009",1980,1980,TRUE,"365_day","365_day",TRUE,"days since 0000-01-01 00:00:00","days since 1850-01-01 00:00:00"
"FCM","LE2-1191.010",1980,1980,TRUE,"365_day","365_day",TRUE,"days since 0000-01-01 00:00:00","days since 1850-01-01 00:00:00"
"FCM","LE2-1231.011",1980,1980,TRUE,"365_day","365_day",TRUE,"days since 0000-01-01 00:00:00","days since 1850-01-01 00:00:00"
"FCM","LE2-1231.012",1980,1980,TRUE,"365_day","365_day",TRUE,"days since 0000-01-01 00:00:00","days since 1850-01-01 00:00:00"
"FCM","LE2-1231.013",1980,1980,TRUE,"365_day","365_day",TRUE,"days since 0000-01-01 00:00:00","days since 1850-01-01 00:00:00"
"FCM","LE2-1231.014",1980,1980,TRUE,"365_day","365_day",TRUE,"days since 0000-01-01 00:00:00","days since 1850-01-01 00:00:00"
"FCM","LE2-1231.015",1980,1980,TRUE,"365_day","365_day",TRUE,"days since 0000-01-01 00:00:00","days since 1850-01-01 00:00:00"
"FCM","LE2-1231.016",1980,1980,TRUE,"365_day","365_day",TRUE,"days since 0000-01-01 00:00:00","days since 1850-01-01 00:00:00"
"FCM","LE2-1231.017",1980,1980,TRUE,"365_day","365_day",TRUE,"days since 0000-01-01 00:00:00","days since 1850-01-01 00:00:00"
"FCM","LE2-1231.018",1980,1980,TRUE,"365_day","365_day",TRUE,"days since 0000-01-01 00:00:00","days since 1850-01-01 00:00:00"
"FCM","LE2-1231.019",1980,1980,TRUE,"365_day","365_day",TRUE,"days since 0000-01-01 00:00:00","days since 1850-01-01 00:00:00"
