"model","member","region","r"
"FCM","LE2-1011.001","GOA",-0.00785258129501849
"FCM","LE2-1011.001","EBS",-0.127085044536847
"FCM","LE2-1031.002","GOA",0.408395061023467
"FCM","LE2-1031.002","EBS",0.347351437618242
"FCM","LE2-1051.003","GOA",0.38664618244209
"FCM","LE2-1051.003","EBS",0.0553440540437712
"FCM","LE2-1071.004","GOA",0.337833749006379
"FCM","LE2-1071.004","EBS",-0.5589824696452
"FCM","LE2-1091.005","GOA",-0.606230444526829
"FCM","LE2-1091.005","EBS",-0.0107245872814963
"FCM","LE2-1111.006","GOA",0.725362576281507
"FCM","LE2-1111.006","EBS",0.653512127610037
"FCM","LE2-1131.007","GOA",-0.0321889836052675
"FCM","LE2-1131.007","EBS",-0.416472785899382
"FCM","LE2-1151.008","GOA",0.153082291491437
"FCM","LE2-1151.008","EBS",0.253172864594575
"FCM","LE2-1171.009","GOA",0.100254556731874
"FCM","LE2-1171.009","EBS",0.424682720595206
"FCM","LE2-1191.010","GOA",0.121815497590491
"FCM","LE2-1191.010","EBS",0.011044136170559
"FCM","LE2-1231.011","GOA",-0.533802651013093
"FCM","LE2-1231.011","EBS",-0.629886328911084
"FCM","LE2-1231.012","GOA",-0.164273469509221
"FCM","LE2-1231.012","EBS",-0.686236265147464
"FCM","LE2-1231.013","GOA",-0.366983702580889
"FCM","LE2-1231.013","EBS",-0.210127691750759
"FCM","LE2-1231.014","GOA",0.277860564309601
"FCM","LE2-1231.014","EBS",0.229684816797429
"FCM","LE2-1231.015","GOA",0.331343651768299
"FCM","LE2-1231.015","EBS",0.154201485386044
"FCM","LE2-1231.016","GOA",0.418731518594947
"FCM","LE2-1231.016","EBS",-0.115286447706668
"FCM","LE2-1231.017","GOA",0.148075603652807
"FCM","LE2-1231.017","EBS",0.263101180856378
"FCM","LE2-1231.018","GOA",0.791028444951838
"FCM","LE2-1231.018","EBS",0.676442778367068
"FCM","LE2-1231.019","GOA",0.103601554938821
"FCM","LE2-1231.019","EBS",0.507122844933294
"FCM","LE2-1231.020","GOA",-0.215250075814906
"FCM","LE2-1231.020","EBS",0.345482729032384
"FCM","LE2-1251.011","GOA",-0.236414378609764
"FCM","LE2-1251.011","EBS",-0.470047776102243
"FCM","LE2-1251.012","GOA",-0.485929692877951
"FCM","LE2-1251.012","EBS",-0.0311606332565966
"FCM","LE2-1251.013","GOA",-0.224736477926382
"FCM","LE2-1251.013","EBS",-0.321350882158288
"FCM","LE2-1251.014","GOA",-0.0190238711105588
"FCM","LE2-1251.014","EBS",0.31730927165025
"FCM","LE2-1251.015","GOA",-0.504771952785315
"FCM","LE2-1251.015","EBS",-0.46275055409809
"FCM","LE2-1251.016","GOA",0.175669805643186
"FCM","LE2-1251.016","EBS",0.154391943922792
"FCM","LE2-1251.017","GOA",0.599725795030774
"FCM","LE2-1251.017","EBS",0.619031831507374
"FCM","LE2-1251.018","GOA",-0.0558381508378577
"FCM","LE2-1251.018","EBS",-0.0402159094040233
"FCM","LE2-1251.019","GOA",-0.3535142335067
"FCM","LE2-1251.019","EBS",-0.430982440617998
"FCM","LE2-1251.020","GOA",-0.281670473008492
"FCM","LE2-1251.020","EBS",0.199756084168961
"FCM","LE2-1281.011","GOA",0.215278036299657
"FCM","LE2-1281.011","EBS",0.0673352776066533
"FCM","LE2-1281.012","GOA",0.169371596221913
"FCM","LE2-1281.012","EBS",0.328769237047635
"FCM","LE2-1281.013","GOA",-0.014236951905444
"FCM","LE2-1281.013","EBS",0.10132667266895
"FCM","LE2-1281.014","GOA",-0.0735429031790824
"FCM","LE2-1281.014","EBS",-0.411699325574941
"FCM","LE2-1281.015","GOA",-0.19940005987945
"FCM","LE2-1281.015","EBS",-0.39821505011495
"FCM","LE2-1281.016","GOA",0.114372297865014
"FCM","LE2-1281.016","EBS",-0.122068442802093
"FCM","LE2-1281.017","GOA",0.813961829040056
"FCM","LE2-1281.017","EBS",0.779058198487159
"FCM","LE2-1281.018","GOA",0.535243634158535
"FCM","LE2-1281.018","EBS",-0.012803741320995
"FCM","LE2-1281.019","GOA",-0.1396353540227
"FCM","LE2-1281.019","EBS",0.0933423537138665
"FCM","LE2-1281.020","GOA",0.00950518708326004
"FCM","LE2-1281.020","EBS",0.285348435822207
"FCM","LE2-1301.011","GOA",-0.437968036667673
"FCM","LE2-1301.011","EBS",-0.137950359806099
"FCM","LE2-1301.012","GOA",-0.289215648402935
"FCM","LE2-1301.012","EBS",0.659541700560918
"FCM","LE2-1301.013","GOA",-0.46023424422814
"FCM","LE2-1301.013","EBS",-0.531257781186216
"FCM","LE2-1301.014","GOA",-0.436582962835532
"FCM","LE2-1301.014","EBS",-0.358014024727058
"FCM","LE2-1301.015","GOA",0.0324192268614484
"FCM","LE2-1301.015","EBS",-0.0395942714324467
"FCM","LE2-1301.016","GOA",0.393657233413717
"FCM","LE2-1301.016","EBS",-0.255139407428159
"FCM","LE2-1301.017","GOA",0.453432394821597
"FCM","LE2-1301.017","EBS",0.547426046534381
"FCM","LE2-1301.018","GOA",-0.0365466288048345
"FCM","LE2-1301.018","EBS",-0.214757208611011
"FCM","LE2-1301.019","GOA",NA
"FCM","LE2-1301.019","EBS",NA
"FCM","LE2-1301.020","GOA",NA
"FCM","LE2-1301.020","EBS",NA
"MDM","01","GOA",0.275374425880523
"MDM","01","EBS",-0.408099739954935
"MDM","02","GOA",0.282596701451865
"MDM","02","EBS",0.34628685795877
"MDM","03","GOA",-0.081828762972278
"MDM","03","EBS",-0.294722991457036
"MDM","04","GOA",-0.255661342676762
"MDM","04","EBS",-0.223239420858485
"MDM","05","GOA",-0.141666386998982
"MDM","05","EBS",0.636732803653388
"MDM","06","GOA",-0.144908170296457
"MDM","06","EBS",0.27403872653979
"MDM","07","GOA",-0.53669637782671
"MDM","07","EBS",-0.353818965108372
"MDM","08","GOA",0.615804429101947
"MDM","08","EBS",0.345635710640875
"MDM","09","GOA",-0.180829280337567
"MDM","09","EBS",0.0191652862540053
"MDM","10","GOA",-0.325072597416251
"MDM","10","EBS",-0.114322508606252
"MDM","11","GOA",0.101795619727099
"MDM","11","EBS",0.243259203614034
"MDM","12","GOA",-0.488642758918837
"MDM","12","EBS",-0.196766532293588
"MDM","13","GOA",-0.630733057510927
"MDM","13","EBS",0.249903979487218
"MDM","14","GOA",-0.217250077342273
"MDM","14","EBS",-0.236603028220138
"MDM","15","GOA",0.403986551645893
"MDM","15","EBS",0.434210927426366
"MDM","16","GOA",-0.216580161821924
"MDM","16","EBS",-0.373169989020443
"MDM","17","GOA",-0.185702799949119
"MDM","17","EBS",-0.615491971472659
"MDM","18","GOA",0.519334632766631
"MDM","18","EBS",0.385729366899761
"MDM","19","GOA",0.0149486368586483
"MDM","19","EBS",0.17089089433406
"MDM","20","GOA",0.351967752294375
"MDM","20","EBS",0.384693346952174
