"year","AL.anom","member","model"
1851,-113.806568043756,"LE2-1011.001","FCM"
1852,-215.792598144504,"LE2-1011.001","FCM"
1853,-761.923205327389,"LE2-1011.001","FCM"
1854,-403.812707201468,"LE2-1011.001","FCM"
1855,-29.2979876851258,"LE2-1011.001","FCM"
1856,-38.5059186906759,"LE2-1011.001","FCM"
1857,-172.437537391082,"LE2-1011.001","FCM"
1858,241.122841200073,"LE2-1011.001","FCM"
1859,-336.82713279381,"LE2-1011.001","FCM"
1860,208.201373453541,"LE2-1011.001","FCM"
1861,103.765146052818,"LE2-1011.001","FCM"
1862,-1130.38676892349,"LE2-1011.001","FCM"
1863,-1057.76413511723,"LE2-1011.001","FCM"
1864,815.245398895016,"LE2-1011.001","FCM"
1865,-5.30931635470929,"LE2-1011.001","FCM"
1866,142.884790673309,"LE2-1011.001","FCM"
1867,19.4069217131897,"LE2-1011.001","FCM"
1868,-861.031596211226,"LE2-1011.001","FCM"
1869,929.910448026339,"LE2-1011.001","FCM"
1870,130.565767375848,"LE2-1011.001","FCM"
1871,-886.868194607873,"LE2-1011.001","FCM"
1872,704.398598650362,"LE2-1011.001","FCM"
1873,345.684468912633,"LE2-1011.001","FCM"
1874,164.358062167384,"LE2-1011.001","FCM"
1875,-277.182598726475,"LE2-1011.001","FCM"
1876,552.263329960048,"LE2-1011.001","FCM"
1877,140.357331137843,"LE2-1011.001","FCM"
1878,24.1241654166812,"LE2-1011.001","FCM"
1879,-315.75444399265,"LE2-1011.001","FCM"
1880,-1014.97206711041,"LE2-1011.001","FCM"
1881,834.678291257731,"LE2-1011.001","FCM"
1882,421.696528249753,"LE2-1011.001","FCM"
1883,-650.977132144514,"LE2-1011.001","FCM"
1884,700.705708420205,"LE2-1011.001","FCM"
1885,-461.737585142381,"LE2-1011.001","FCM"
1886,306.981708329708,"LE2-1011.001","FCM"
1887,-299.634872700493,"LE2-1011.001","FCM"
1888,-997.599947864973,"LE2-1011.001","FCM"
1889,1571.3708868333,"LE2-1011.001","FCM"
1890,207.082322295449,"LE2-1011.001","FCM"
1891,-202.016068869439,"LE2-1011.001","FCM"
1892,-57.9852159708477,"LE2-1011.001","FCM"
1893,-596.546700540883,"LE2-1011.001","FCM"
1894,644.719953950253,"LE2-1011.001","FCM"
1895,-1014.15925979584,"LE2-1011.001","FCM"
1896,-1244.34274560001,"LE2-1011.001","FCM"
