"","Year","mean.anom"
"1",1854,0.604156031711442
"2",1855,0.267294747403796
"3",1856,0.332087331571464
"4",1857,0.343508639972097
"5",1858,0.452306106817507
"6",1859,0.493075958115737
"7",1860,0.472800767085754
"8",1861,0.249993277905501
"9",1862,0.318615913495289
"10",1863,0.376251086916922
"11",1864,0.30408125392779
"12",1865,0.303135712107784
"13",1866,-0.101618589318626
"14",1867,0.17123525379741
"15",1868,0.161057080262956
"16",1869,0.200984906073867
"17",1870,0.26846401903827
"18",1871,0.291741813147802
"19",1872,0.323538839789587
"20",1873,-0.219835713053982
"21",1874,0.311191795855099
"22",1875,0.0291358830984919
"23",1876,0.134044277225074
"24",1877,0.487466566106564
"25",1878,0.749974130285633
"26",1879,0.801672694045169
"27",1880,0.507403480925684
"28",1881,0.0215760384012524
"29",1882,0.601319340489763
"30",1883,0.661604944969077
"31",1884,0.650298444883849
"32",1885,0.882548749300113
"33",1886,-0.484541894098233
"34",1887,-0.534709089441892
"35",1888,-0.0929297712882394
"36",1889,0.66168197233535
"37",1890,0.17317458680913
"38",1891,-0.663844694902344
"39",1892,-0.725558756258659
"40",1893,-0.475099695965688
"41",1894,-0.0119221089776313
"42",1895,-0.0032221574042788
"43",1896,0.300206741114015
"44",1897,-0.189574239403226
"45",1898,0.179313261605701
"46",1899,0.669532339034541
"47",1900,-0.300676695504453
"48",1901,0.267889912496698
"49",1902,0.844714885786873
"50",1903,0.605306624775191
"51",1904,0.727783190444397
"52",1905,0.39501883372478
"53",1906,0.845095738837774
"54",1907,0.658143231691541
"55",1908,-0.160189703893293
"56",1909,0.408871477794291
"57",1910,-0.238618380566309
"58",1911,-0.752394285535544
"59",1912,-0.0718057578381659
"60",1913,-0.410101272953218
"61",1914,-0.0818397784853366
"62",1915,1.13739113805342
"63",1916,0.0831427637025226
"64",1917,-0.236876390392815
"65",1918,0.192809684628371
"66",1919,-0.747357353099876
"67",1920,-0.257377591947918
"68",1921,-0.759253146595258
"69",1922,0.144921861356832
"70",1923,0.100149615096916
"71",1924,-0.534995485893358
"72",1925,-0.374753640423156
"73",1926,0.282024479366155
"74",1927,1.74384186970159
"75",1928,0.273490918317443
"76",1929,0.455055791087443
"77",1930,-0.247662744794739
"78",1931,0.177869572975619
"79",1932,-0.0520389184106062
"80",1933,0.437326303045529
"81",1934,-0.873703196374035
"82",1935,-0.421577154580936
"83",1936,0.758850645952423
"84",1937,1.34749981206199
"85",1938,-0.737860547733936
"86",1939,-1.12007250415481
"87",1940,-1.07786360236873
"88",1941,0.477005578380354
"89",1942,1.51705912515868
"90",1943,-0.15736434804678
"91",1944,-0.103187883668152
"92",1945,0.727543089800816
"93",1946,0.422576531051349
"94",1947,-0.347648667489855
"95",1948,-0.81762394505127
"96",1949,0.0606225671412709
"97",1950,-0.833041484684521
"98",1951,-1.29824549102751
"99",1952,-0.533596920492741
"100",1953,-0.842813302076472
"101",1954,-0.982515723153598
"102",1955,-0.787341268716154
"103",1956,-1.4137446001231
"104",1957,-1.27430563061743
"105",1958,-0.0508198245904563
"106",1959,-0.878870003307674
"107",1960,-0.600509676045935
"108",1961,-0.572033534627041
"109",1962,-0.492905634558073
"110",1963,-0.551668128585893
"111",1964,-0.455830926993384
"112",1965,-0.755171552593265
"113",1966,-0.154868452258909
"114",1967,-0.37234138559556
"115",1968,-0.447266876848437
"116",1969,-0.467943579407637
"117",1970,-0.0273467493792887
"118",1971,-0.431450328758141
"119",1972,-1.2080586450736
"120",1973,-0.649125680284979
"121",1974,-0.418363442754498
"122",1975,-0.483327266739202
"123",1976,-1.0598172236496
"124",1977,-0.00712289484672672
"125",1978,0.129982882455581
"126",1979,0.555310057365112
"127",1980,0.00569383232702027
"128",1981,-0.188527297466374
"129",1982,0.193689286788286
"130",1983,-0.261086372278099
"131",1984,0.345716472036166
"132",1985,0.817124493317555
"133",1986,0.239642921661143
"134",1987,0.907102509957972
"135",1988,0.349104145402967
"136",1989,-0.237924383580417
"137",1990,-0.214911850094734
"138",1991,-0.0774253434592117
"139",1992,-0.000236930329217339
"140",1993,-0.264261221847365
"141",1994,0.656406894066297
"142",1995,-0.321954713996011
"143",1996,0.387738929933949
"144",1997,-0.0287141342410128
"145",1998,-0.0679730436351305
"146",1999,-0.0864024786215547
"147",2000,-1.11332428569579
"148",2001,1.35387710745995
"149",2002,-0.329824988922166
"150",2003,1.06827182838189
"151",2004,0.44963920427123
"152",2005,0.685192224341453
"153",2006,-0.512730179224968
"154",2007,-0.366296231866732
"155",2008,-0.814771878101015
"156",2009,-1.18742768551082
"157",2010,-0.504359427461329
"158",2011,-0.388065062998807
"159",2012,-1.16239455451583
"160",2013,-1.10091556903281
"161",2014,0.338130282702954
"162",2015,1.15884929294958
"163",2016,1.33988598900763
"164",2017,0.966124379512739
"165",2018,0.688114420130973
"166",2019,1.01513334492683
"167",2020,0.265066833166037
"168",2021,0.452958000982739
"169",2022,-1.12046917306993
"170",2023,-0.207414873884034
"171",2024,0.103630713269298
