"lon","lat","ar1.e1","ar1.e2","diff","variable"
180.5,66,0.223452394995963,0.151490123676358,-0.0719622713196045,"SST"
180.75,66,0.192951533824784,0.136417988323595,-0.0565335455011896,"SST"
190,66,0.237431504551037,0.488433997276469,0.251002492725432,"SST"
190.25,66,0.21651715173968,0.46774146544181,0.25122431370213,"SST"
190.5,66,0.200241491720136,0.442195384700376,0.24195389298024,"SST"
190.75,66,0.140267293362962,0.421074634057945,0.280807340694983,"SST"
191,66,-0.036549361873577,0.417219422617179,0.453768784490756,"SST"
191.25,66,-0.189509170519685,0.406339704790628,0.595848875310313,"SST"
191.5,66,-0.254841899092389,0.386304043724609,0.641145942816997,"SST"
191.75,66,-0.27843794808616,0.358333829560821,0.63677177764698,"SST"
192,66,-0.305096739129504,0.338323397843592,0.643420136973097,"SST"
192.25,66,-0.294009978723008,0.31304851792164,0.607058496644648,"SST"
192.5,66,-0.28682584842815,0.29175607641725,0.5785819248454,"SST"
192.75,66,-0.276851308825257,0.272668849287977,0.549520158113234,"SST"
238,66,-0.149911344773708,-0.0281052707824638,0.121806073991244,"SST"
238.25,66,-0.154338046296404,-0.0429600896452048,0.111377956651199,"SST"
238.5,66,-0.152015447265661,-0.0585315997070977,0.093483847558563,"SST"
238.75,66,-0.144981577266336,-0.0682644622161096,0.0767171150502267,"SST"
239,66,-0.125976367672282,-0.0603235521211875,0.0656528155510945,"SST"
239.25,66,-0.0948638912715756,-0.0456662029334004,0.0491976883381751,"SST"
239.5,66,-0.0999234968872943,-0.0619851687745934,0.0379383281127009,"SST"
239.75,66,-0.124528721269748,-0.0946693846275968,0.0298593366421514,"SST"
240,66,-0.125636452188062,-0.106035821678481,0.0196006305095815,"SST"
240.25,66,-0.115026723994267,-0.114090029277173,0.000936694717093942,"SST"
240.5,66,-0.130464019548746,-0.133475361218371,-0.00301134166962538,"SST"
240.75,66,-0.139028074475872,-0.143778317131255,-0.00475024265538321,"SST"
241,66,-0.130305547073494,-0.135692870861264,-0.00538732378776996,"SST"
241.25,66,-0.136934920230401,-0.133378976444598,0.0035559437858029,"SST"
241.5,66,-0.133184710816593,-0.124981971019209,0.00820273979738458,"SST"
241.75,66,-0.122032437502254,-0.118407831686831,0.00362460581542337,"SST"
180.5,65.75,0.191708298558826,0.202414757122159,0.0107064585633331,"SST"
180.75,65.75,0.190632363929506,0.193309769888585,0.00267740595907878,"SST"
181,65.75,0.215483152094562,0.223707344966877,0.00822419287231474,"SST"
181.25,65.75,0.260045829715675,0.284690839948722,0.024645010233047,"SST"
189.5,65.75,0.268141707953648,0.490052534279198,0.22191082632555,"SST"
189.75,65.75,0.201634381025939,0.490682120822683,0.289047739796744,"SST"
190,65.75,0.0838212040233759,0.482124661527085,0.398303457503709,"SST"
190.25,65.75,-0.0474831592829689,0.478004924891212,0.52548808417418,"SST"
190.5,65.75,-0.103387837802048,0.460290084565513,0.563677922367561,"SST"
190.75,65.75,-0.148293757677834,0.448153399590134,0.596447157267969,"SST"
191,65.75,-0.232231097198483,0.445531960613689,0.677763057812172,"SST"
191.25,65.75,-0.360352123166932,0.432041078805564,0.792393201972496,"SST"
191.5,65.75,-0.329415916449122,0.419309076878739,0.748724993327861,"SST"
191.75,65.75,-0.306669357684962,0.395824244922154,0.702493602607116,"SST"
192,65.75,-0.320494368308777,0.365104539612044,0.685598907920821,"SST"
192.75,65.75,-0.311785912561039,0.248948214096925,0.560734126657964,"SST"
238,65.75,-0.179842239476864,-0.0520424021975837,0.12779983727928,"SST"
238.25,65.75,-0.186151327559476,-0.0621648766600324,0.123986450899444,"SST"
238.5,65.75,-0.18024944237326,-0.0532300319484799,0.12701941042478,"SST"
238.75,65.75,-0.160581655176477,-0.0282274549079407,0.132354200268536,"SST"
239,65.75,-0.129699771243286,-0.0141986278912672,0.115501143352019,"SST"
239.25,65.75,-0.130021535920771,-0.0688958903802443,0.0611256455405264,"SST"
239.5,65.75,-0.147905104885932,-0.112895332029617,0.0350097728563148,"SST"
239.75,65.75,-0.167967389681121,-0.129851423553477,0.0381159661276441,"SST"
