"year","GOA","EBS"
1958,11.4878768645432,1.38263036246224
1959,6.06961125820888,6.60272207360501
1960,1.06358792481655,3.8964025189043
1961,1.23743098893008,3.49942041738148
1962,-2.45212723678313,8.13488387940583
1963,-3.94620657554157,2.52935759541617
1964,3.17206052406546,6.2261517725621
1965,-2.76813237693322,5.26307580593618
1966,2.34324640039514,3.43235588364972
1967,3.95362310128144,8.15890611804971
1968,-1.69068681207753,3.81255435850577
1969,5.01216406288034,3.9349812265024
1970,-0.317868063064717,-1.21353169776904
1971,2.93445773037439,2.3264105119045
1972,4.30945389419257,5.18476484034774
1973,0.26272131341604,0.193770154061051
1974,3.15669532098162,-0.810105030009502
1975,-1.56603734186552,0.926404136741426
1976,-6.45287190249418,-5.28792895392398
1977,-5.74896156921355,-9.67062217761539
1978,-0.28303483845473,-1.24649480871422
1979,-0.444067787014277,2.70006472794311
1980,1.87075073990956,0.626386334317632
1981,-0.978072610865644,-3.23302094204743
1982,-1.64036249007178,-2.14218503571685
1983,-1.72198677135681,-5.22303968054176
1984,1.37788897752184,-2.21236539534046
1985,-0.993569511900495,-2.86416143359401
1986,1.24892094893589,-6.02274314220784
1987,-2.79865693584848,-5.10858330209299
1988,-1.83589416978265,-1.61602464800613
1989,-3.01665087575676,-0.365458328465688
1990,-5.53731170103026,-2.72665775108173
1991,-1.46194346837142,-4.85463299668302
1992,-4.73033864754814,-4.40619522005385
1993,2.64026967726945,-1.12964659460506
1994,-1.74665861668382,-3.88828143476921
1995,1.231885903785,-4.88644991361488
1996,-2.11420917057795,-4.07867682943668
1997,-1.65628277362246,0.90413568680561
1998,-3.32267263088919,-5.49579779521487
1999,-3.01100972112938,0.226648474927594
2000,-6.24921080106006,3.26783056452652
2001,-1.92305392305923,-3.0592814597202
2002,1.18080709054557,1.19856007239855
2003,-7.84965663771172,-4.23082567071523
2004,-0.838175324999648,4.24503885105634
2005,-3.16061107099671,-0.669515642212182
2006,-0.427209076905909,-1.696264866847
2007,1.71636709340701,-1.27674340117572
2008,-0.0398637643866977,0.891353397029752
2009,-0.921204471970352,4.41253313684916
2010,1.94704074964925,-2.4354815340507
2011,1.29901108149028,2.82864828286391
2012,3.08609826964575,5.21474884626543
2013,-1.43576429147471,1.61568263941897
2014,-3.42967942990051,-8.21692017724465
2015,-2.04738335269133,-2.2477527866265
2016,3.95982297855315,0.507266101214926
2017,7.23276265610166,2.86349075353422
2018,3.80648166879164,0.547772598752843
2019,1.7609554438925,2.4164683812316
2020,2.10588961673772,2.87890762876354
2021,2.31463096284606,3.33644686343204
2022,1.48572784536131,2.27904736913221
2023,2.37760413012174,-2.50432128787702
2024,3.30741162116357,-0.00722261846858372
2025,3.87871620693977,-3.48591473070172
2026,1.10961627089745,0.505538310265598
